# thermal lid cavity Ri=10 Gr=1e+06 Pr=0.71 N=129 op=CentralMoments
# velocity scale is max(U, u_c) = 0.150000
# s  u_x(0.5,s)  u_y(s,0.5)  theta(0.5,s)  theta(s,0.5)
0.42968750 -1.73486336e-01 -6.32277084e-03 6.20397829e-01 6.31475585e-01
0.43750000 -1.86544935e-01 -4.71470364e-03 6.23243105e-01 6.32817699e-01
0.44531250 -1.99794323e-01 -3.12539231e-03 6.26401284e-01 6.34143410e-01
0.45312500 -2.13212305e-01 -1.55254150e-03 6.29793324e-01 6.35455472e-01
0.46093750 -2.26764503e-01 6.13008533e-06 6.33291677e-01 6.36756574e-01
0.46875000 -2.40401878e-01 1.55289749e-03 6.36708843e-01 6.38049349e-01
0.47656250 -2.54058295e-01 3.09003740e-03 6.39786440e-01 6.39336389e-01
0.48437500 -2.67648472e-01 4.61983618e-03 6.42186536e-01 6.40620252e-01
0.49218750 -2.81066722e-01 6.14459783e-03 6.43487680e-01 6.41903473e-01
0.50000000 -2.94187014e-01 7.66665203e-03 6.43188575e-01 6.43188575e-01
0.50781250 -3.06864786e-01 9.18836197e-03 6.40722606e-01 6.44478080e-01
0.51562500 -3.18940798e-01 1.07121321e-02 6.35485986e-01 6.45774515e-01
0.52343750 -3.30246980e-01 1.22404157e-02 6.26881068e-01 6.47080426e-01
0.53125000 -3.40613759e-01 1.37757222e-02 6.14373979e-01 6.48398388e-01
0.53906250 -3.49877924e-01 1.53206242e-02 5.97562504e-01 6.49731013e-01
0.54687500 -3.57889775e-01 1.68777642e-02 5.76246386e-01 6.51080960e-01
0.55468750 -3.64518340e-01 1.84498609e-02 5.50488975e-01 6.52450951e-01
0.56250000 -3.69653853e-01 2.00397153e-02 5.20657546e-01 6.53843774e-01
0.57031250 -3.73207467e-01 2.16502157e-02 4.87430804e-01 6.55262300e-01
0.57812500 -3.75109067e-01 2.32843430e-02 4.51766554e-01 6.56709492e-01
0.58593750 -3.75304695e-01 2.49451742e-02 4.14829698e-01 6.58188412e-01
0.59375000 -3.73755255e-01 2.66358867e-02 3.77889112e-01 6.59702241e-01
0.60156250 -3.70437615e-01 2.83597600e-02 3.42198958e-01 6.61254279e-01
0.60937500 -3.65348281e-01 3.01201775e-02 3.08883638e-01 6.62847965e-01
0.61718750 -3.58508649e-01 3.19206266e-02 2.78844538e-01 6.64486879e-01
0.62500000 -3.49970136e-01 3.37646974e-02 2.52701400e-01 6.66174756e-01
0.63281250 -3.39817270e-01 3.56560792e-02 2.30773316e-01 6.67915492e-01
0.64062500 -3.28167387e-01 3.75985551e-02 2.13096451e-01 6.69713147e-01
0.64843750 -3.15166459e-01 3.95959928e-02 1.99469546e-01 6.71571952e-01
0.65625000 -3.00981610e-01 4.16523325e-02 1.89515376e-01 6.73496307e-01
0.66406250 -2.85791586e-01 4.37715688e-02 1.82746474e-01 6.75490775e-01
0.67187500 -2.69776741e-01 4.59577266e-02 1.78625773e-01 6.77560073e-01
0.67968750 -2.53109983e-01 4.82148285e-02 1.76616236e-01 6.79709053e-01
0.68750000 -2.35949654e-01 5.05468508e-02 1.76216930e-01 6.81942676e-01
0.69531250 -2.18434818e-01 5.29576654e-02 1.76985710e-01 6.84265972e-01
0.70312500 -2.00682901e-01 5.54509629e-02 1.78550386e-01 6.86683986e-01
0.71093750 -1.82789326e-01 5.80301511e-02 1.80611065e-01 6.89201709e-01
0.71875000 -1.64828589e-01 6.06982230e-02 1.82936466e-01 6.91823980e-01
0.72656250 -1.46856232e-01 6.34575851e-02 1.85356638e-01 6.94555370e-01
0.73437500 -1.28911226e-01 6.63098350e-02 1.87754006e-01 6.97400021e-01
0.74218750 -1.11018436e-01 6.92554775e-02 1.90054103e-01 7.00361462e-01
0.75000000 -9.31909325e-02 7.22935634e-02 1.92216814e-01 7.03442363e-01
0.75781250 -7.54320616e-02 7.54212354e-02 1.94228593e-01 7.06644245e-01
0.76562500 -5.77372307e-02 7.86331628e-02 1.96095812e-01 7.09967128e-01
0.77343750 -4.00954479e-02 8.19208492e-02 1.97839227e-01 7.13409104e-01
0.78125000 -2.24906580e-02 8.52717950e-02 1.99489402e-01 7.16965850e-01
0.78906250 -4.90294004e-03 8.86685061e-02 2.01082902e-01 7.20630047e-01
0.79687500 1.26903692e-02 9.20873457e-02 2.02659014e-01 7.24390734e-01
0.80468750 3.03135638e-02 9.54972416e-02 2.04256750e-01 7.28232589e-01
0.81250000 4.79914083e-02 9.88582855e-02 2.05911888e-01 7.32135153e-01
0.82031250 6.57478702e-02 1.02120289e-01 2.07653809e-01 7.36072022e-01
0.82812500 8.36046890e-02 1.05221398e-01 2.09501924e-01 7.40010043e-01
0.83593750 1.01579721e-01 1.08086932e-01 2.11461491e-01 7.43908563e-01
0.84375000 1.19685000e-01 1.10628631e-01 2.13518697e-01 7.47718785e-01
0.85156250 1.37924443e-01 1.12744595e-01 2.15634951e-01 7.51383320e-01
0.85937500 1.56291118e-01 1.14320205e-01 2.17740491e-01 7.54836005e-01
0.86718750 1.74763954e-01 1.15230340e-01 2.19727580e-01 7.58002099e-01
0.87500000 1.93303743e-01 1.15343200e-01 2.21443860e-01 7.60798967e-01
0.88281250 2.11848210e-01 1.14525955e-01 2.22686776e-01 7.63137412e-01
0.89062500 2.30305872e-01 1.12652287e-01 2.23200334e-01 7.64923837e-01
0.89843750 2.48548377e-01 1.09611725e-01 2.22675832e-01 7.66063508e-01
0.90625000 2.66401137e-01 1.05320368e-01 2.20758358e-01 7.66465290e-01
0.91406250 2.83632414e-01 9.97323646e-02 2.17060694e-01 7.66048287e-01
0.92187500 2.99941798e-01 9.28512433e-02 2.11185624e-01 7.64750887e-01
0.92968750 3.14950374e-01 8.47400493e-02 2.02756287e-01 7.62542585e-01
0.93750000 3.28196690e-01 7.55291846e-02 1.91452392e-01 7.59438659e-01
0.94531250 3.39144684e-01 6.54209325e-02 1.77047988e-01 7.55517091e-01
0.95312500 3.47211113e-01 5.46898142e-02 1.59444922e-01 7.50936180e-01
0.96093750 3.51819749e-01 4.36781121e-02 1.38695795e-01 7.45950064e-01
0.96875000 3.52486616e-01 3.27860216e-02 1.15011934e-01 7.40918246e-01
0.97656250 3.48934427e-01 2.24558503e-02 8.87554884e-02 7.36304573e-01
0.98437500 3.41227381e-01 1.31497035e-02 6.04193325e-02 7.32661500e-01
0.99218750 3.29899209e-01 5.31837946e-03 3.06025436e-02 7.30597129e-01
1.00000000 3.16227766e-01 0.00000000e+00 0.00000000e+00 5.00000000e-01
