# thermal lid cavity Ri=1 Gr=1e+06 Pr=0.71 N=129 op=CentralMoments
# velocity scale is max(U, u_c) = 0.080000
# s  u_x(0.5,s)  u_y(s,0.5)  theta(0.5,s)  theta(s,0.5)
0.74218750 2.63849095e-03 -1.35065169e-01 1.34632198e-01 1.48155851e-01
0.75000000 2.72714754e-02 -1.39110794e-01 1.34595582e-01 1.53019616e-01
0.75781250 5.19988663e-02 -1.42362052e-01 1.34544002e-01 1.58850258e-01
0.76562500 7.68272664e-02 -1.44707919e-01 1.34471582e-01 1.65773738e-01
0.77343750 1.01764627e-01 -1.46036248e-01 1.34372993e-01 1.73924671e-01
0.78125000 1.26820251e-01 -1.46237615e-01 1.34244130e-01 1.83443154e-01
0.78906250 1.52004655e-01 -1.45210063e-01 1.34082981e-01 1.94469957e-01
0.79687500 1.77329242e-01 -1.42864654e-01 1.33890727e-01 2.07139791e-01
0.80468750 2.02805736e-01 -1.39131627e-01 1.33673084e-01 2.21572455e-01
0.81250000 2.28445301e-01 -1.33966886e-01 1.33441876e-01 2.37861897e-01
0.82031250 2.54257309e-01 -1.27358374e-01 1.33216798e-01 2.56063500e-01
0.82812500 2.80247723e-01 -1.19331882e-01 1.33027250e-01 2.76180365e-01
0.83593750 3.06417109e-01 -1.09955717e-01 1.32914099e-01 2.98149817e-01
0.84375000 3.32758317e-01 -9.93437331e-02 1.32931049e-01 3.21831823e-01
0.85156250 3.59253984e-01 -8.76562597e-02 1.33145241e-01 3.47001289e-01
0.85937500 3.85874070e-01 -7.50986151e-02 1.33636413e-01 3.73346213e-01
0.86718750 4.12573832e-01 -6.19170775e-02 1.34493717e-01 4.00473199e-01
0.87500000 4.39292971e-01 -4.83924035e-02 1.35808898e-01 4.27920977e-01
0.88281250 4.65957301e-01 -3.48312087e-02 1.37664114e-01 4.55181340e-01
0.89062500 4.92485490e-01 -2.15557191e-02 1.40112395e-01 4.81725556e-01
0.89843750 5.18805282e-01 -8.89253695e-03 1.43148858e-01 5.07033214e-01
0.90625000 5.44885960e-01 2.83887896e-03 1.46671818e-01 5.30619974e-01
0.91406250 5.70795214e-01 1.33373381e-02 1.50435541e-01 5.52060948e-01
0.92187500 5.96785805e-01 2.23300365e-02 1.54000858e-01 5.71007686e-01
0.92968750 6.23405079e-01 2.95811252e-02 1.56696067e-01 5.87198555e-01
0.93750000 6.51593510e-01 3.48982042e-02 1.57607122e-01 6.00464535e-01
0.94531250 6.82698383e-01 3.81361835e-02 1.55620016e-01 6.10734467e-01
0.95312500 7.18292628e-01 3.91978942e-02 1.49535236e-01 6.18045106e-01
0.96093750 7.59695351e-01 3.80309127e-02 1.38258956e-01 6.22561412e-01
0.96875000 8.07191718e-01 3.46205041e-02 1.21045569e-01 6.24610794e-01
0.97656250 8.59176590e-01 2.89798071e-02 9.77284227e-02 6.24731358e-01
0.98437500 9.11757993e-01 2.11403358e-02 6.88539747e-02 6.23728688e-01
0.99218750 9.59578867e-01 1.11474616e-02 3.56632929e-02 6.22729839e-01
1.00000000 1.00000000e+00 0.00000000e+00 0.00000000e+00 5.00000000e-01
